customer_id,customer_name,email,country,created_date,source_file
1,Abigail Williams,abigail.williams1@example.com,USA,2024-07-01,customers.csv
2,Abigail Ramirez,abigail.ramirez2@example.com,Japan,2017-03-06,customers.csv
3,Jane Hernandez,jane.hernandez3@example.com,Brazil,2018-12-01,customers.csv
4,Harper Gonzalez,harper.gonzalez4@example.com,Japan,2022-07-05,customers.csv
5,Evelyn Hernandez,evelyn.hernandez5@example.com,Canada,2016-12-15,customers.csv
6,Nicholas Thomas,nicholas.thomas6@example.com,Mexico,2021-04-07,customers.csv
7,Mia Miller,mia.miller7@example.com,France,2018-11-30,customers.csv
8,Joseph Garcia,joseph.garcia8@example.com,UK,2022-07-22,customers.csv
9,John White,john.white9@example.com,Australia,2024-07-06,customers.csv
10,Joseph Jones,joseph.jones10@example.com,India,2021-07-08,customers.csv
11,Michael White,michael.white11@example.com,USA,2024-11-22,customers.csv
12,Emily Brown,emily.brown12@example.com,France,2015-01-01,customers.csv
13,Alexander Hernandez,alexander.hernandez13@example.com,UK,2017-05-20,customers.csv
14,Amelia Anderson,amelia.anderson14@example.com,Canada,2022-09-24,customers.csv
15,Anthony Sanchez,anthony.sanchez15@example.com,USA,2023-02-24,customers.csv
16,Harper Smith,harper.smith16@example.com,Canada,2018-09-06,customers.csv
17,Daniel Wilson,daniel.wilson17@example.com,Mexico,2019-06-03,customers.csv
18,Charlotte Ramirez,charlotte.ramirez18@example.com,Germany,2015-02-01,customers.csv
19,Joseph Rodriguez,joseph.rodriguez19@example.com,Mexico,2017-12-28,customers.csv
20,Nicholas Harris,nicholas.harris20@example.com,Canada,2022-05-16,customers.csv
21,Michael Johnson,michael.johnson21@example.com,Germany,2016-10-07,customers.csv
22,Alexander Lee,alexander.lee22@example.com,UK,2024-10-23,customers.csv
23,Abigail Jones,abigail.jones23@example.com,UK,2021-07-27,customers.csv
24,Sofia Davis,sofia.davis24@example.com,Japan,2015-12-17,customers.csv
25,Nicholas Gonzalez,nicholas.gonzalez25@example.com,UK,2022-11-22,customers.csv
26,Emma Perez,emma.perez26@example.com,USA,2021-05-27,customers.csv
27,John Gonzalez,john.gonzalez27@example.com,Germany,2016-04-08,customers.csv
28,William Brown,william.brown28@example.com,USA,2015-04-26,customers.csv
29,Sarah Davis,sarah.davis29@example.com,France,2024-05-27,customers.csv
